_id,birthDate,birthPlace,career_AST,career_FG%,career_FG3%,career_FT%,career_G,career_PER,career_PTS,career_TRB,career_WS,career_eFG%,college,draft_pick,draft_round,draft_team,draft_year,height,highSchool,name,position,shoots,weight
dawkipa01,10-Jun-57,"Saginaw, Michigan",1.4,47,20,68.8,57,11,5.5,2.2,-0.1,47.2,Northern Illinois University,185th overall,10th round,Utah Jazz,1979,5-Jun,"Saginaw in Saginaw, Michigan",Paul Dawkins,Small Forward,Right,190lb
deanegr01,6-Dec-57,"Tulare, California",0.9,18.2,100,71.4,7,4.5,1.4,0.9,-0.1,22.7,University of Utah,67th overall,4th round,Utah Jazz,1979,4-Jun,"Union in Tulare, California",Greg Deane,Shooting Guard,Right,190lb
demicla01,27-Jun-57,"Gary, Indiana",0.5,45.9,0,58,206,8.1,4.7,3.9,1.4,45.9,University of Arizona,9th overall,1st round,New York Knicks,1979,9-Jun,"West Side in Gary, Indiana",Larry Demic,Power Forward,Right,225lb
donalja01,16-Aug-57,"Heacham, United Kingdom",0.8,57.1,-,73.2,957,13.8,8.6,7.8,62.3,57.1,Washington State University,73rd overall,4th round,Seattle SuperSonics,1979,2-Jul,"Luther Burbank in Sacramento, California",James Donaldson,Center,Left,275lb
duerote01,29-Jul-56,"Royal Oak, Michigan",1.2,46.2,32.9,67.2,143,12.1,6.7,1.1,1,47.5,University of Detroit Mercy,48th overall,3rd round,Detroit Pistons,1979,2-Jun,"Highland Park in Highland Park, Michigan",Terry Duerod,Shooting Guard and Small Forward,Right,180lb
eatonma01,24-Jan-57,"Westminster, California",1,45.8,0,64.9,875,10.9,6,7.9,44.8,45.8,"University of California, Los Angeles",107th overall,5th round,Phoenix Suns,1979,4-Jul,"Westminster in Westminster, California",Mark Eaton,Center,Left,275lb
flowebr01,13-Jun-57,"Rochester, New York",0.9,53.4,0,77.4,53,15.2,4.9,3.4,1.7,53.4,University of Notre Dame,26th overall,2nd round,Cleveland Cavaliers,1979,8-Jun,"Berkley in Berkley, Michigan",Bruce Flowers,Power Forward,Right,225lb
garlaga01,12-Oct-57,"East Orange, New Jersey",1.9,43.5,31.6,69.2,78,10.2,4.3,1.8,0.5,44.4,DePaul University,30th overall,2nd round,Denver Nuggets,1979,4-Jun,"Clifford J. Scott in East Orange, New Jersey",Gary Garland,Point Guard,Right,180lb
garreca01,11-Jul-56,"Parsons, Tennessee",1.5,45.7,30,76.7,166,8.9,5.2,2.6,2.6,46.1,"Austin Peay State University, Oral Roberts University",47th overall,3rd round,Chicago Bulls,1979,7-Jun,"East in Nashville, Tennessee",Calvin Garrett,Small Forward,Right,190lb
greenda01,27-May-57,"Lynwood, California",2,47.7,13.8,76.5,823,13.6,10.2,7.9,46.4,47.8,"University of California, Los Angeles",2nd overall,1st round,Chicago Bulls,1979,9-Jun,"Verbum Dei in Los Angeles, California",Dave Greenwood,Power Forward,Right,222lb
hamilro01,20-Jul-57,"Los Angeles, California",2.6,40,0,68.4,73,9.1,4.6,1.5,-0.4,40,"University of California, Los Angeles",10th overall,1st round,Detroit Pistons,1979,2-Jun,"Verbum Dei in Los Angeles, California",Roy Hamilton,Point Guard,Right,180lb
highjo01,25-Apr-57,"Birmingham, Alabama",1.9,43.5,10.5,61.9,274,9.4,5.1,2.3,4.7,43.7,"University of Nevada, Reno",24th overall,2nd round,Phoenix Suns,1979,3-Jun,"Jones Valley in Birmingham, Alabama",Johnny High,Point Guard and Shooting Guard,Right,185lb
hollabr01,6-Dec-56,"Billings, Montana",0.7,40.3,19,74.6,93,10.2,3.2,0.6,0.4,41,"University of California, Los Angeles",14th overall,1st round,Los Angeles Lakers,1979,3-Jun,"Crescenta Valley in La Crescenta, California",Brad Holland,Shooting Guard,Right,180lb
hordgce01,8-Jan-57,"Montgomery, Alabama",1.2,47.5,18.8,63.9,145,10.6,7.6,5.9,2.2,47.7,"Auburn University, University of South Carolina",49th overall,3rd round,Chicago Bulls,1979,8-Jun,"Robert E. Lee in Montgomery, Alabama",Cedrick Hordges,Power Forward,Right,220lb
hubbaph01,13-Dec-56,"Canton, Ohio",1.3,49.5,3.8,70.6,665,13.9,10.9,5.3,29,49.5,University of Michigan,15th overall,1st round,Detroit Pistons,1979,8-Jun,"McKinley in Canton, Ohio",Phil Hubbard,Power Forward and Small Forward,Right,215lb
hustoge01,8-Nov-57,"Brooklyn, New York",5.1,48.3,25.4,70.8,496,12.7,8.8,1.4,11.9,48.5,Texas Tech University,50th overall,3rd round,New York Knicks,1979,2-Jun,"Canarsie in Brooklyn, New York",Geoff Huston,Point Guard,Right,175lb
johnsch02,7-Sep-57,"New York, New York",0.2,40,-,60,9,9.4,3,1.6,0,40,Wichita State University,54th overall,3rd round,Golden State Warriors,1979,6-Jun,"Haaren in New York, New York",Cheese Johnson,Small Forward,Right,195lb
johnsle01,16-Jun-57,"Plummerville, Arkansas",0.1,28,-,60,12,0.8,1.4,1.8,-0.2,28,"University of Montana, East Texas State University",17th overall,1st round,Houston Rockets,1979,11-Jun,"Omaha South in Omaha, Nebraska",Lee Johnson,Power Forward,Right,205lb
johnsma02,14-Aug-59,"Lansing, Michigan",11.2,52,30.3,84.8,906,24.1,19.5,7.2,155.8,53.3,Michigan State University,1st overall,1st round,Los Angeles Lakers,1979,9-Jun,"Everett in Lansing, Michigan",Magic Johnson,Shooting Guard and Power Forward and Point Guard,Right,215lb
johnsvi01,1-Sep-56,"Brooklyn, New York",3.3,46.4,25.4,74,984,15.2,12,3.2,50.8,46.8,Baylor University,7th overall,1st round,Seattle SuperSonics,1979,2-Jun,"Franklin D. Roosevelt in Brooklyn, New York",Vinnie Johnson,Shooting Guard and Point Guard,Right,200lb
jonesch01,3-Apr-57,"McGehee, Arkansas",0.9,48,0,61.8,726,9.2,2.5,4.5,24.6,48,Albany State University,165th overall,8th round,Phoenix Suns,1979,9-Jun,"Desha Central in Rohwer, Arkansas",Charles Jones,Power Forward and Center,Right,215lb
